timestamp,region,scenario,download_mbps,upload_mbps,ping_ms,lat,lon
2026-08-31 19:41:27.252436,台北,peak_congestion,87.28,22.2,30.49,25.029187,121.570977
2026-08-31 20:41:27.252436,台北,peak_congestion,73.24,28.26,33.62,25.042585,121.60123
2026-08-31 21:41:27.252436,台北,peak_congestion,91.93,28.47,26.97,25.057996,121.567688
2026-08-31 22:41:27.252436,台北,peak_congestion,93.92,34.21,28.13,25.006537,121.579919
2026-08-31 23:41:27.252436,台北,peak_congestion,63.73,31.57,42.52,25.029875,121.56398
2026-09-01 00:41:27.252436,台北,peak_congestion,121.56,40.5,10.85,25.070036,121.56114
2026-09-01 01:41:27.252436,台北,peak_congestion,147.3,48.24,11.61,25.01441,121.545913
2026-09-01 02:41:27.252436,台北,peak_congestion,139.31,29.68,23.35,25.012444,121.576158
2026-09-01 03:41:27.252436,台北,peak_congestion,144.7,33.52,27.62,25.038058,121.544112
2026-09-01 04:41:27.252436,台北,peak_congestion,129.65,31.51,11.31,25.05411,121.58204
2026-09-01 05:41:27.252436,台北,peak_congestion,160.83,35.27,14.53,25.033286,121.592532
2026-09-01 06:41:27.252436,台北,peak_congestion,159.0,28.36,17.37,25.066224,121.574563
2026-09-01 07:41:27.252436,台北,peak_congestion,146.19,42.45,22.91,25.05442,121.558244
2026-09-01 08:41:27.252436,台北,peak_congestion,165.29,36.44,12.05,25.054046,121.576749
2026-09-01 09:41:27.252436,台北,peak_congestion,153.42,27.7,15.02,25.046853,121.557683
2026-09-01 10:41:27.252436,台北,peak_congestion,129.53,30.89,19.11,25.091191,121.588789
2026-09-01 11:41:27.252436,台北,peak_congestion,151.64,40.19,17.74,25.027871,121.519615
2026-09-01 12:41:27.252436,台北,peak_congestion,127.74,43.87,14.5,24.982912,121.55701
2026-09-01 13:41:27.252436,台北,peak_congestion,160.81,51.98,15.46,25.073106,121.51563
2026-09-01 14:41:27.252436,台北,peak_congestion,144.1,58.4,10.5,25.021558,121.528023
2026-09-01 15:41:27.252436,台北,peak_congestion,141.67,40.9,15.05,25.035697,121.599497
2026-09-01 16:41:27.252436,台北,peak_congestion,132.74,31.07,14.93,25.065739,121.58778
2026-09-01 17:41:27.252436,台北,peak_congestion,167.01,23.08,16.93,24.992944,121.547413
2026-09-01 18:41:27.252436,台北,peak_congestion,142.22,39.87,13.78,25.001709,121.527837
2026-09-01 19:41:27.252436,台北,peak_congestion,79.63,23.26,35.89,24.992968,121.491287
2026-09-01 20:41:27.252436,台北,peak_congestion,80.42,25.27,38.05,25.013147,121.551813
2026-09-01 21:41:27.252436,台北,peak_congestion,89.66,24.28,34.62,25.043991,121.62591
2026-09-01 22:41:27.252436,台北,peak_congestion,87.92,26.65,35.41,25.046105,121.576272
2026-09-01 23:41:27.252436,台北,peak_congestion,88.41,32.73,34.21,25.039907,121.551411
2026-09-02 00:41:27.252436,台北,peak_congestion,152.75,39.1,16.0,24.997681,121.577027
2026-09-02 01:41:27.252436,台北,peak_congestion,183.55,36.89,13.11,24.975247,121.526376
2026-09-02 02:41:27.252436,台北,peak_congestion,137.68,30.75,17.27,25.034359,121.557967
2026-09-02 03:41:27.252436,台北,peak_congestion,135.78,26.28,15.61,25.021206,121.567887
2026-09-02 04:41:27.252436,台北,peak_congestion,130.35,34.6,24.37,25.044485,121.563247
2026-09-02 05:41:27.252436,台北,peak_congestion,156.09,37.62,22.29,25.050549,121.58517
2026-09-02 06:41:27.252436,台北,peak_congestion,165.32,50.38,17.54,25.036456,121.574016
2026-09-02 07:41:27.252436,台北,peak_congestion,142.95,38.91,12.95,25.052003,121.582108
2026-09-02 08:41:27.252436,台北,peak_congestion,129.88,44.88,11.55,25.03873,121.548191
2026-09-02 09:41:27.252436,台北,peak_congestion,130.16,34.5,20.76,25.046252,121.587845
2026-09-02 10:41:27.252436,台北,peak_congestion,156.71,29.71,17.05,25.015383,121.606123
2026-09-02 11:41:27.252436,台北,peak_congestion,158.38,31.24,17.92,25.02851,121.541146
2026-09-02 12:41:27.252436,台北,peak_congestion,154.78,32.92,9.02,25.037919,121.543208
2026-09-02 13:41:27.252436,台北,peak_congestion,133.02,52.9,19.71,25.053513,121.598795
2026-09-02 14:41:27.252436,台北,peak_congestion,149.18,32.25,17.82,25.023156,121.560616
2026-09-02 15:41:27.252436,台北,peak_congestion,147.1,43.87,11.56,25.046029,121.600496
2026-09-02 16:41:27.252436,台北,peak_congestion,148.94,31.68,14.11,25.026354,121.554337
2026-09-02 17:41:27.252436,台北,peak_congestion,160.69,44.52,17.05,25.030061,121.601776
2026-09-02 18:41:27.252436,台北,peak_congestion,149.02,40.69,16.21,25.053738,121.568687
2026-09-02 19:41:27.252436,台北,peak_congestion,91.19,26.57,32.83,24.983173,121.571856
2026-09-02 20:41:27.252436,台北,peak_congestion,84.81,27.15,33.59,25.000588,121.604518
2026-09-02 21:41:27.252436,台北,peak_congestion,87.12,24.06,32.99,24.995945,121.556356
2026-09-02 22:41:27.252436,台北,peak_congestion,90.69,29.61,34.61,24.97466,121.541872
2026-09-02 23:41:27.252436,台北,peak_congestion,68.89,25.07,39.89,25.016043,121.554186
2026-09-03 00:41:27.252436,台北,peak_congestion,139.25,29.42,5.73,25.051736,121.576708
2026-09-03 01:41:27.252436,台北,peak_congestion,136.53,29.05,15.05,25.025878,121.526256
2026-09-03 02:41:27.252436,台北,peak_congestion,133.5,39.21,16.71,25.037945,121.581337
2026-09-03 03:41:27.252436,台北,peak_congestion,140.05,49.05,17.18,25.06023,121.551931
2026-09-03 04:41:27.252436,台北,peak_congestion,171.91,39.12,14.51,25.066192,121.594095
2026-09-03 05:41:27.252436,台北,peak_congestion,129.42,37.17,8.97,25.031272,121.505543
2026-09-03 06:41:27.252436,台北,peak_congestion,162.43,40.0,17.31,25.06684,121.545736
