timestamp,cell_id,site_lat,site_lon,sample_lat,sample_lon,distance_m,rsrp_dbm,rsrq_db,sinr_db,load_pct,num_users,flag_poor_signal,flag_high_load,flag_problem,throughput_mbps
2026-09-01 00:00:00,CELL_001,25.01105827737519,121.54828870288245,25.013225763379484,121.55488508175571,707.0,-92.8,-5.0,7.3,31.1,32,False,False,False,80.1
2026-09-01 00:00:00,CELL_001,25.01105827737519,121.54828870288245,25.008233431513688,121.55158897897408,457.5,-84.2,-7.0,6.5,12.9,25,False,False,False,73.5
2026-09-01 00:00:00,CELL_001,25.01105827737519,121.54828870288245,25.005613691981296,121.5507926962846,655.9,-93.7,-5.1,6.1,15.1,12,False,False,False,70.3
2026-09-01 00:00:00,CELL_001,25.01105827737519,121.54828870288245,25.011892341269384,121.55111576281588,299.6,-82.7,-6.1,5.2,32.3,49,False,False,False,63.2
2026-09-01 00:00:00,CELL_001,25.01105827737519,121.54828870288245,25.006624244599127,121.54603339432909,542.9,-91.4,-7.1,9.4,24.8,15,False,False,False,98.4
2026-09-01 00:00:00,CELL_001,25.01105827737519,121.54828870288245,25.00563866496485,121.54619572752108,638.5,-89.3,-6.6,5.8,12.5,20,False,False,False,67.9
2026-09-01 00:00:00,CELL_001,25.01105827737519,121.54828870288245,25.01384501686793,121.54424108759189,512.2,-100.5,-3.7,3.8,28.2,19,False,False,False,53.0
2026-09-01 00:00:00,CELL_001,25.01105827737519,121.54828870288245,25.007786363825478,121.5422433733316,709.6,-97.7,-5.8,3.2,8.2,10,False,False,False,48.8
2026-09-01 00:00:00,CELL_001,25.01105827737519,121.54828870288245,25.00510763749369,121.54989235583066,681.1,-99.0,-3.9,5.2,20.6,15,False,False,False,63.2
2026-09-01 00:00:00,CELL_001,25.01105827737519,121.54828870288245,25.008354318497272,121.54509999713252,440.1,-102.5,-6.1,-0.4,36.8,39,True,False,True,28.1
2026-09-01 00:00:00,CELL_001,25.01105827737519,121.54828870288245,25.010458125769524,121.55490821361572,670.4,-88.8,-5.1,4.6,14.5,8,False,False,False,58.7
2026-09-01 00:00:00,CELL_001,25.01105827737519,121.54828870288245,25.004473681136187,121.55036127963088,761.4,-107.4,-3.0,-0.9,35.0,22,True,False,True,25.7
2026-09-01 00:00:00,CELL_001,25.01105827737519,121.54828870288245,25.00986129077821,121.54148930949717,698.0,-95.1,-3.0,4.5,8.0,12,False,False,False,58.0
2026-09-01 00:00:00,CELL_001,25.01105827737519,121.54828870288245,25.009589087206773,121.54834994398146,163.5,-68.7,-7.0,10.9,11.0,12,False,False,False,112.0
2026-09-01 00:00:00,CELL_001,25.01105827737519,121.54828870288245,25.00500601524988,121.54455894803888,770.8,-105.0,-4.1,-2.7,21.9,26,True,False,True,18.6
2026-09-01 00:00:00,CELL_001,25.01105827737519,121.54828870288245,25.00899256048532,121.54848023569131,230.5,-61.4,-11.8,10.6,14.3,23,False,False,False,109.3
2026-09-01 00:00:00,CELL_001,25.01105827737519,121.54828870288245,25.00694317996081,121.54769555044804,461.5,-94.2,-3.8,6.0,9.9,9,False,False,False,69.5
2026-09-01 00:00:00,CELL_001,25.01105827737519,121.54828870288245,25.009943595410743,121.5459747332983,264.1,-78.5,-7.5,14.0,37.1,49,False,False,False,141.2
2026-09-01 00:00:00,CELL_001,25.01105827737519,121.54828870288245,25.014421236566584,121.54917746678098,384.5,-87.6,-7.6,10.4,16.1,12,False,False,False,107.4
2026-09-01 00:00:00,CELL_001,25.01105827737519,121.54828870288245,25.00718832415128,121.54788348410008,432.3,-90.8,-5.2,5.4,20.2,38,False,False,False,64.8
2026-09-01 00:00:00,CELL_001,25.01105827737519,121.54828870288245,25.016638236966617,121.54330325125008,798.3,-88.8,-6.4,8.3,16.1,8,False,False,False,88.7
2026-09-01 00:00:00,CELL_001,25.01105827737519,121.54828870288245,25.00694795321673,121.55290150959846,651.9,-89.9,-5.7,3.4,13.4,22,False,False,False,50.2
2026-09-01 00:00:00,CELL_001,25.01105827737519,121.54828870288245,25.01229023088836,121.54585634053508,280.8,-84.5,-4.6,5.6,15.9,31,False,False,False,66.3
2026-09-01 00:00:00,CELL_001,25.01105827737519,121.54828870288245,25.00395339895025,121.54825219132412,790.0,-98.7,-3.0,4.2,28.7,47,False,False,False,55.8
2026-09-01 00:00:00,CELL_001,25.01105827737519,121.54828870288245,25.0085446261658,121.54817832644726,279.7,-90.1,-7.3,6.0,30.0,18,False,False,False,69.5
2026-09-01 00:00:00,CELL_001,25.01105827737519,121.54828870288245,25.012917611498413,121.55030855429688,290.1,-81.2,-7.8,13.1,28.2,45,False,False,False,132.6
